NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
:actor_actor_train_rollout_1,PushPop,329409,329409,1,281,1652543,5880.9,4992.0,3935,9759,2144.9,"void at::native::<unnamed>::vectorized_layer_norm_kernel<c10::BFloat16, float, (bool)1>(int, T2, const T1 *, const T1 *, const T1 *, T2 *, T2 *, T1 *)"
:actor_actor_train_rollout_1,PushPop,329409,329409,1,349,1610841,4615.6,1216.0,1120,19424,6831.9,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
:actor_actor_train_rollout_1,PushPop,329409,329409,1,348,1505428,4325.9,4640.0,2400,5473,998.5,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
:actor_actor_train_rollout_1,PushPop,329409,329409,1,70,1329633,18994.8,18752.0,18144,21472,753.6,nvjet_sm90_tst_144x128_64x6_1x2_h_bz_TNN
:actor_actor_train_rollout_1,PushPop,329409,329409,1,276,1216569,4407.9,4559.5,2720,6400,1570.5,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
:actor_actor_train_rollout_1,PushPop,329409,329409,1,138,874724,6338.6,6352.0,4096,8704,2170.4,"void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)4, (int)64, (int)64>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
:actor_actor_train_rollout_1,PushPop,329409,329409,1,69,713412,10339.3,10336.0,10112,10560,95.8,nvjet_sm90_tst_192x192_64x4_2x1_v_bz_coopB_TNN
:actor_actor_train_rollout_1,PushPop,329409,329409,1,140,666957,4764.0,4768.0,4448,5281,151.7,triton_poi_fused_add_0
:actor_actor_train_rollout_1,PushPop,329409,329409,1,70,612094,8744.2,8719.5,8449,9153,146.0,nvjet_sm90_tst_128x96_64x7_1x2_h_bz_NNT
:actor_actor_train_rollout_1,PushPop,329409,329409,1,70,445979,6371.1,6368.0,6049,6784,144.1,triton_poi_fused_mul_silu_split_0
:actor_actor_train_rollout_1,PushPop,329409,329409,1,138,408961,2963.5,3088.0,2624,3424,272.1,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 9)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
:actor_actor_train_rollout_1,PushPop,329409,329409,1,138,352930,2557.5,2576.0,1632,3520,860.4,"void at::native::<unnamed>::CatArrayBatchedCopy_vectorized<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)4, (int)128, (int)1, (int)16, (int)8>(char *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
:actor_actor_train_rollout_1,PushPop,329409,329409,1,281,338141,1203.3,1184.0,1120,1440,56.4,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
:actor_actor_train_rollout_1,PushPop,329409,329409,1,138,302243,2190.2,2112.0,1503,3040,585.1,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
:actor_actor_train_rollout_1,PushPop,329409,329409,1,139,299100,2151.8,2240.0,1856,2496,193.1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::cos_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
:actor_actor_train_rollout_1,PushPop,329409,329409,1,139,275932,1985.1,1984.0,1855,2144,77.5,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::sin_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
:actor_actor_train_rollout_1,PushPop,329409,329409,1,70,244093,3487.0,3456.0,3328,3744,109.8,"void at::native::triu_tril_kernel<float, int, (bool)1, (int)2, (bool)0>(at::cuda::detail::TensorInfo<T1, T2>, at::cuda::detail::TensorInfo<const T1, T2>, long, long, T2)"
:actor_actor_train_rollout_1,PushPop,329409,329409,1,70,231355,3305.1,3296.0,3232,3361,26.2,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 11)]::operator ()() const::[lambda(bool) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
:actor_actor_train_rollout_1,PushPop,329409,329409,1,1,25088,25088.0,25088.0,25088,25088,0.0,"<unnamed>::fused_linear_logp_sm90_combine_kernel(const float *, const float *, const float *, float *, float *, int, int, bool)"
:actor_actor_train_rollout_1,PushPop,329409,329409,1,3,14944,4981.3,5184.0,3776,5984,1117.9,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
:actor_actor_train_rollout_1,PushPop,329409,329409,1,2,12575,6287.5,6287.5,6240,6335,67.2,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::<unnamed>::masked_fill_kernel(at::TensorIterator &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16, bool) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
:actor_actor_train_rollout_1,PushPop,329409,329409,1,4,11104,2776.0,2576.0,2560,3392,410.9,"void at::native::unrolled_elementwise_kernel<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)3>, (int)4, TrivialOffsetCalculator<(int)2, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)2>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
:actor_actor_train_rollout_1,PushPop,329409,329409,1,2,8704,4352.0,4352.0,3840,4864,724.1,"void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, long, long, bool)"
:actor_actor_train_rollout_1,PushPop,329409,329409,1,4,8032,2008.0,1936.0,1920,2240,155.4,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4, (int)4>>(T3)"
:actor_actor_train_rollout_1,PushPop,329409,329409,1,1,6847,6847.0,6847.0,6847,6847,0.0,"void transformer_engine::normalization::rmsnorm_fwd_general_kernel<transformer_engine::normalization::Kernel_traits<__nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, unsigned int, (unsigned int)8192, (unsigned int)1, (unsigned int)1, (unsigned int)4, (unsigned int)16, transformer_engine::normalization::Kernel_traits_base<(unsigned int)8192, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, unsigned int, (unsigned int)128>>>(transformer_engine::normalization::ForwardKernelParams)"
:actor_actor_train_rollout_1,PushPop,329409,329409,1,5,6400,1280.0,1312.0,1152,1408,121.9,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
:actor_actor_train_rollout_1,PushPop,329409,329409,1,5,6304,1260.8,1280.0,1152,1312,66.4,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
:actor_actor_train_rollout_1,PushPop,329409,329409,1,4,6240,1560.0,1552.0,1344,1792,249.8,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::compare_scalar_kernel<long>(at::TensorIteratorBase &, at::native::<unnamed>::OpType, T1)::[lambda(long) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
:actor_actor_train_rollout_1,PushPop,329409,329409,1,4,6047,1511.8,1503.5,1376,1664,120.9,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
:actor_actor_train_rollout_1,PushPop,329409,329409,1,2,5792,2896.0,2896.0,1952,3840,1335.0,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4, (int)4>>(T3)"
:actor_actor_train_rollout_1,PushPop,329409,329409,1,2,5504,2752.0,2752.0,2720,2784,45.3,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<int, at::native::func_wrapper_t<int, at::native::MaxNanFunctor<int>>, unsigned int, int, (int)4, (int)4>>(T3)"
:actor_actor_train_rollout_1,PushPop,329409,329409,1,5,5440,1088.0,1088.0,1088,1088,0.0,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
:actor_actor_train_rollout_1,PushPop,329409,329409,1,4,5279,1319.8,1280.0,1279,1440,80.2,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
:actor_actor_train_rollout_1,PushPop,329409,329409,1,1,4352,4352.0,4352.0,4352,4352,0.0,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::MaxNanFunctor<float>>, unsigned int, float, (int)4, (int)4>>(T3)"
