PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
329409,329409,0,1,1,1790949.0,1790949.0,1790949,1790949,0.0,6560.0,6560.0,6560,6560,0.0,1759301.0,1759301.0,1759301,1759301,0.0,25088.0,25088.0,25088,25088,0.0,cudaLaunchKernel,"<unnamed>::fused_linear_logp_sm90_combine_kernel(const float *, const float *, const float *, float *, float *, int, int, bool)"
329409,329409,0,1,1,1774141.0,1774141.0,1774141,1774141,0.0,6504.0,6504.0,6504,6504,0.0,1077.0,1077.0,1077,1077,0.0,1766560.0,1766560.0,1766560,1766560,0.0,cudaLaunchKernel,"<unnamed>::fused_linear_logp_sm90_kernel(CUtensorMap_st, CUtensorMap_st, const int *, const float *, float *, float *, float *, int, int, int, int, int)"
329409,329409,0,1,1,1704885.0,1704885.0,1704885,1704885,0.0,34503.0,34503.0,34503,34503,0.0,1669134.0,1669134.0,1669134,1669134,0.0,1248.0,1248.0,1248,1248,0.0,cudaLaunchKernel,"void at::native::<unnamed>::CatArrayBatchedCopy_vectorized<at::native::<unnamed>::OpaqueType<(unsigned int)4>, unsigned int, (int)1, (int)128, (int)1, (int)16, (int)4>(char *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
329640,329640,1,140,131,1648531.3,2010181.5,46410,3269806,820422.3,13785.3,12784.0,10548,24800,3004.8,508642.2,431366.0,59,1383710,510433.6,1158895.4,980020.5,33505,3252176,603757.2,cuLaunchKernelEx,ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
329640,329640,1,3,3,1634450.7,1346264.0,10391,3546697,1785680.2,9582.7,10367.0,7442,10939,1875.8,1623502.7,1334553.0,1573,3534382,1784041.4,1365.3,1376.0,1344,1376,18.5,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, bool, at::native::<unnamed>::CompareEqFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
329640,329640,1,138,138,1417889.6,1755611.0,14608,2162978,797305.6,10450.9,9748.5,8535,24264,2641.0,1402647.0,1740386.0,771,2146018,797237.0,4791.7,4800.0,4448,5248,158.7,cuLaunchKernel,triton_poi_fused_add_0
329409,329409,0,1,1,1387948.0,1387948.0,1387948,1387948,0.0,15424.0,15424.0,15424,15424,0.0,1368172.0,1368172.0,1368172,1368172,0.0,4352.0,4352.0,4352,4352,0.0,cudaLaunchKernel,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::MaxNanFunctor<float>>, unsigned int, float, (int)4, (int)4>>(T3)"
329640,329640,1,96,95,1361964.8,1361515.0,54033,2687807,775510.1,4278.9,3971.0,3662,15021,1365.1,1340200.4,1335641.0,33934,2655004,767911.3,31471.8,31312.5,28993,41504,1160.9,cudaLaunchKernel,"void multi_tensor_apply_kernel<TensorListMetadata<(int)1, (bool)0>, transformer_engine::multi_tensor_l2norm::L2NormFunctor<float>, float *, float *, bool, int>(long, volatile int *, T1, T2, T3...)"
329640,329640,1,3,2,1341646.3,1705771.0,27576,2291592,1175109.4,22646.0,24563.0,8753,34622,13040.6,1975762.0,1975762.0,1669965,2281559,432462.3,2101.3,1280.0,1184,3840,1506.5,cudaLaunchKernel,"void at::native::<unnamed>::CatArrayBatchedCopy_vectorized<at::native::<unnamed>::OpaqueType<(unsigned int)4>, unsigned int, (int)1, (int)128, (int)1, (int)16, (int)4>(char *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
329640,329640,1,69,68,1260191.3,1546688.0,64621,1983784,764274.3,9033.4,8251.0,7277,18406,2798.7,1212786.5,1508262.5,465,1919976,756127.9,56064.3,56064.0,55168,57408,438.6,cuLaunchKernelEx,nvjet_sm90_tst_256x128_64x4_1x2_h_bz_coopA_TNT
329640,329640,1,4,4,1255591.0,712625.0,12747,3584367,1686575.9,12349.8,10332.5,9111,19623,4898.9,1241897.0,701237.0,1651,3563463,1682277.4,1344.3,1264.5,1120,1728,265.1,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AbsFunctor<float>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
329409,329409,0,1,1,1198081.0,1198081.0,1198081,1198081,0.0,14080.0,14080.0,14080,14080,0.0,1182561.0,1182561.0,1182561,1182561,0.0,1440.0,1440.0,1440,1440,0.0,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, bool, at::native::<unnamed>::CompareEqFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
329640,329640,1,274,273,1173288.0,1592137.0,9959,2264874,754978.5,7636.5,7774.5,3794,24677,3516.7,1164061.8,1590269.0,855,2245190,752909.5,5866.7,4992.0,3935,9696,2138.8,cudaLaunchKernel,"void at::native::<unnamed>::vectorized_layer_norm_kernel<c10::BFloat16, float, (bool)1>(int, T2, const T1 *, const T1 *, const T1 *, T2 *, T2 *, T1 *)"
329640,329640,1,69,68,1165328.0,1441062.0,14055,1883818,751635.0,7375.3,6346.0,5687,18497,3033.1,1168454.3,1454373.0,1527,1868589,743700.8,6524.0,6496.0,6143,7104,181.0,cuLaunchKernel,triton_poi_fused_mul_silu_split_0
329640,329640,1,68,67,1162613.1,1537565.0,28076,1856442,747498.8,9599.2,8773.0,8035,19887,2692.1,1150917.3,1568667.0,513,1827189,739862.9,19175.1,19056.0,18208,20640,776.1,cuLaunchKernelEx,nvjet_sm90_tst_144x128_64x6_1x2_h_bz_TNN
329409,329409,0,1,1,1150034.0,1150034.0,1150034,1150034,0.0,7261.0,7261.0,7261,7261,0.0,1141141.0,1141141.0,1141141,1141141,0.0,1632.0,1632.0,1632,1632,0.0,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::masked_fill_kernel(at::TensorIterator &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float, bool) (instance 1)], std::array<char *, (unsigned long)3>>(int, T2, T3)"
329640,329640,1,2,2,1134703.0,1134703.0,903021,1366385,327647.8,17898.5,17898.5,17265,18532,895.9,1109700.5,1109700.5,878236,1341165,327340.2,7104.0,7104.0,6688,7520,588.3,cudaLaunchKernel,"void transformer_engine::normalization::rmsnorm_fwd_general_kernel<transformer_engine::normalization::Kernel_traits<__nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, unsigned int, (unsigned int)8192, (unsigned int)1, (unsigned int)1, (unsigned int)4, (unsigned int)16, transformer_engine::normalization::Kernel_traits_base<(unsigned int)8192, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, unsigned int, (unsigned int)128>>>(transformer_engine::normalization::ForwardKernelParams)"
